song_name,artists,year,spotify_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_popularity,artist_id,genres
Saudade Vem Correndo,Stan Getz and Luiz Bonfá,1963.0,3QxAadrRx8aSEVd6Qzr8KF,0.946,0.634,0.288,0.163,4.0,0.366,-16.798,1.0,0.0377,90.633,4.0,0.671,54.0,0FMucZsEnCxs5pqBjHjIc8,"bebop,bossa nova,cool jazz,jazz,jazz saxophone,latin jazz,samba-jazz,vocal jazz"
Diana in the Autumn Wind,Gap Mangione,1968.0,2yONEvu95BwhLRS3oSyBsB,0.661,0.525,0.417,0.00667,7.0,0.137,-10.423,0.0,0.0291,100.789,4.0,0.291,14.0,0mQU7aLi35kTXGf2WjKM35,
Dreamflower,Tarika Blue,1976.0,4iyH37AHAkYK1MVhveeqcm,0.77,0.551,0.252,0.719,3.0,0.0834,-17.767,0.0,0.0293,134.878,4.0,0.376,47.0,5lq6V5V6D0zzfClxSPzV4G,
Open Your Eyes,Bobby Caldwell,1980.0,5TA4he79xD3fpvy0sidiOV,0.889,0.735,0.287,0.00124,2.0,0.0776,-17.593,1.0,0.0465,95.539,4.0,0.409,55.0,4V4Z3qMCwYofWHtip6ePF6,yacht rock
All I Do Is Think of You,The Jackson 5,1975.0,5GoheMjTcV8xbbUUWchvjl,0.571,0.545,0.642,3.44e-06,8.0,0.0881,-6.535,0.0,0.0379,121.654,4.0,0.511,52.0,2iE18Oxc8YSumAU232n4rW,"motown,soul"
Swahililand,Ahmad Jamal,1974.0,7qwuryqoBBEH56d3iEhIBO,0.669,0.311,0.274,0.932,4.0,0.114,-25.008,0.0,0.0407,166.925,4.0,0.0648,42.0,6gc6oo3u2f7SqTd4mhe81O,"bebop,cool jazz,jazz,jazz piano"
Don't Say Goodnight (It's Time for Love) (Parts 1 & 2),The Isley Brothers,1980.0,6DVOThiin61bmeIwf6fzGx,0.856,0.462,0.248,0.014,9.0,0.181,-10.957,1.0,0.0365,99.042,4.0,0.276,41.0,53QzNeFpzAaXYnrDBbDrIp,"classic soul,funk,motown,quiet storm,soul"
Footsteps in the Dark,The Isley Brothers,1977.0,1tL5a9jowsWMtn3wkFYsG9,0.402,0.679,0.374,2.49e-05,11.0,0.0541,-10.565,0.0,0.0482,80.86,4.0,0.871,62.0,53QzNeFpzAaXYnrDBbDrIp,"classic soul,funk,motown,quiet storm,soul"
The Worst Band in the World,10cc,1974.0,0orDEh9TN4jkgnDIXJkXnN,0.192,0.653,0.453,0.0048,11.0,0.122,-13.259,0.0,0.156,155.748,4.0,0.69,36.0,6i6WlGzQtXtz7GcC5H5st5,"album rock,art rock,classic rock,folk rock,glam rock,mellow gold,new romantic,soft rock,symphonic rock,yacht rock"
Think (About It),Lyn Collins,1972.0,1kG2PZ8geznbDA8I6iWeDi,0.204,0.773,0.561,0.0,9.0,0.0575,-10.224,1.0,0.225,112.582,4.0,0.717,56.0,6XJPGyxrP66scKvIE9kpPN,p funk
Theme From Midnight Express,Giorgio Moroder,1978.0,3CgonfeyRh23O9F4aKiIbW,0.00152,0.641,0.648,0.87,7.0,0.0645,-13.379,0.0,0.0298,125.368,4.0,0.965,51.0,6jU2Tt13MmXYk0ZBv1KmfO,disco
Clair De Lune,Isao Tomita,1974.0,7cwPQGHgob1v9pek8WnQRx,0.766,0.0942,0.0206,0.838,1.0,0.0851,-30.4,1.0,0.0413,83.671,4.0,0.038,39.0,1Uff91EOsvd99rtAupatMP,"classical,impressionism,post-romantic era"
To You With Love,The Moments,1971.0,7uVAH8sYi1u27FcB5m5sd1,0.38,0.525,0.614,0.0,9.0,0.156,-7.92,0.0,0.0405,134.439,4.0,0.344,23.0,6avGAzQTmqu8mfSmZrN7gT,"classic soul,disco,funk,motown,post-disco,quiet storm,soul,southern soul"
Shine on Straight Arrow,Cris Williamson,1971.0,1Ttf7o5eQj9kepWRZpo8nG,0.544,0.346,0.253,0.00969,0.0,0.109,-11.923,1.0,0.0292,86.488,4.0,0.238,12.0,3HAd50yqk5ADswivbp5lWf,women's music
You're Gonna Need Me,Dionne Warwick,1973.0,5ezYm2LkW25YhkkTp7bC9u,0.589,0.438,0.633,0.000135,6.0,0.185,-11.798,0.0,0.0597,167.0,4.0,0.746,44.0,2JSjCHK79gdaiPWdKiNUNp,"adult standards,brill building pop,disco,quiet storm,soft rock,soul,vocal jazz"
E=MC²,Giorgio Moroder,1979.0,0oks4FnzhNp5QPTZtoet7c,0.0692,0.74,0.682,0.53,9.0,0.381,-10.42,0.0,0.0504,113.201,4.0,0.41,67.0,4tZwfgrHOc3mvqYlEYSvVi,"electro,filter house,rock"
Blue in Green,Miles Davis,1959.0,0aWMVrwxPNYkKmFthzmpRi,0.808,0.421,0.0162,0.0024,2.0,0.0978,-25.358,0.0,0.0388,110.479,4.0,0.154,64.0,0kbYTNQb4Pb1rPbbaF0pT4,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,soul,vocal jazz"
Django,Dorothy Ashby,1962.0,2Qvk3Fx0auDcG7gpIgQAlV,0.706,0.651,0.399,0.944,2.0,0.105,-11.923,1.0,0.063,114.34,4.0,0.694,39.0,770iqFnZSU8y1Nqp6PcfbM,"gypsy jazz,jazz guitar"
Love Ballad,L.T.D.,1976.0,3iCbTmcXnKlRZCdaYOukxq,0.449,0.602,0.385,0.000111,6.0,0.0803,-14.81,0.0,0.0385,77.697,4.0,0.354,58.0,0H4sfMNK9hoasHItAgD1kJ,"disco,funk,new jack swing,post-disco,quiet storm,soul,urban contemporary"
Lightworks,Raymond Scott,2000.0,3AygMhKDtZyzN8Ch0tcy3L,0.807,0.683,0.371,0.0244,7.0,0.652,-13.666,1.0,0.094,170.82,4.0,0.54,9.0,31DffUzogcRBJT3Andaqtt,"acousmatic,exotica,laboratorio,moog,space age pop"
I Can't Stand (To See You Cry),The Escorts,1974.0,28PZ40We0pLpkqfeGn2NPw,0.888,0.247,0.567,0.0473,1.0,0.682,-10.525,1.0,0.0376,139.488,4.0,0.564,23.0,6LFrJ9S3C34Uzuvy1b6VRM,classic soul
Inside My Love,Minnie Riperton,1975.0,7yngji6ogBXvAJdeOSBHAP,0.446,0.422,0.361,0.00955,10.0,0.0886,-11.358,0.0,0.0313,91.498,4.0,0.38,48.0,2i1IdHG5w0wiSmJGoqAGlj,"classic soul,disco,funk,motown,quiet storm,soul"
Clair,The Singers Unlimited,1974.0,1iXJKuzDH0E6PnTk2lQXAq,0.973,0.484,0.222,0.000306,5.0,0.104,-14.631,0.0,0.044,127.756,4.0,0.409,27.0,3RsROIs1zuuC3lwIdhJ0if,"a cappella,vocal harmony group"
UFO,ESG,1981.0,1LGvDKbk0qLtwXzyljS9H5,0.000271,0.493,0.32,0.865,1.0,0.0978,-19.446,1.0,0.243,140.715,4.0,0.157,33.0,4EF5vIcCYKMM61oYOG2Tqa,"dance-punk,no wave,post-punk"
Golden Apples - Part II,Galt MacDermot,1971.0,4upHDP3nzfFYotgyBAeOTF,0.865,0.528,0.715,0.812,8.0,0.12,-9.889,1.0,0.0296,111.973,4.0,0.622,13.0,3b6TinIPahsS8iSCYAeinr,
"Johnny, Don't Do It",10cc,1973.0,1Fem9jSJEleNWT1kgt70ST,0.0473,0.408,0.563,0.0,9.0,0.0781,-5.97,0.0,0.0374,118.543,3.0,0.558,63.0,5dHfLBNU8zoypgKefzEB1c,folk-pop
"I Don't Want to Leave You, I Just Came to Say Good-Bye",Shawn Phillips,1977.0,6c7L3B3v77NCu5y1eYysD1,0.00129,0.463,0.628,0.765,4.0,0.0762,-14.647,0.0,0.0423,103.109,4.0,0.504,8.0,0qgbJLYz20q47xKIkkXBG9,"folk,folk rock"
Sweet Stuff,Sylvia Robinson,1976.0,3rCrodlu30PI74r9bqi8ZW,0.721,0.767,0.255,0.0485,9.0,0.117,-13.777,0.0,0.0468,152.467,4.0,0.751,27.0,3doP2QWtByNGoRwupOcaMi,
Will O' the Wisp,Steve Howe,1975.0,1bHk7YGS7eoFo0ZvXqPitP,0.0845,0.48,0.548,0.00217,10.0,0.0914,-9.722,1.0,0.0287,76.261,4.0,0.26,10.0,6W7XIO8Ua1RIisnSf0QIoI,"progressive rock,symphonic rock"
Phantom of the Synths,J Dilla,2005.0,6YbfTiImEm6kH6gRXpdtgR,6.8e-05,0.288,0.725,3.09e-06,10.0,0.636,-4.651,0.0,0.455,181.391,4.0,0.436,60.0,0IVcLMMbm05VIjnzPkGCyp,"alternative hip hop,detroit hip hop,hip hop,instrumental hip hop"
The Look of Love,Barney Kessel,1969.0,5r4CoRPXq8RGmrlVNzNJq5,0.967,0.535,0.061,0.805,2.0,0.113,-24.796,0.0,0.0566,83.899,4.0,0.167,29.0,6pVkGhtBvjj1P52yn0tNLG,jazz guitar
Maybe It's Love This Time,The Stylistics,1980.0,0Rw4aFSwMEhtVLzmy2xr5v,0.661,0.446,0.418,0.0,3.0,0.081,-8.852,0.0,0.0286,145.04,4.0,0.233,30.0,2O0Hw1WSMbskB5tD9aWah3,"classic soul,disco,funk,motown,philly soul,quiet storm,soul"
To the Other Man,Luther Ingram,1972.0,1I3xgRAsHGDMaRHsawyN45,0.516,0.505,0.501,0.0,3.0,0.12,-7.97,1.0,0.0394,137.33,4.0,0.508,21.0,5Pek6HAr0BoHD9P1RuA7d5,"memphis soul,southern soul"
Come Running to Me,Herbie Hancock,1977.0,3UvkoYw8FicuTMDPlkv0IB,0.617,0.563,0.355,0.257,2.0,0.12,-14.87,0.0,0.033,122.224,3.0,0.501,32.0,2ZvrvbQNrHKwjT7qfGFFUW,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano"
Family Tree,Tin Tin,1970.0,73ZTWCuwudUVvvWipRnQnQ,0.0238,0.66,0.523,0.0,4.0,0.142,-12.068,1.0,0.0608,126.342,4.0,0.794,68.0,2dyeCWctcFRt3Pha76ONgb,"country,country rock,outlaw country"
Scrabble,Rene Costy & His Orchestra,1972.0,57D5wx2wA0elP1zuWkBlJa,0.475,0.476,0.763,0.413,7.0,0.147,-6.336,1.0,0.0701,100.766,4.0,0.933,28.0,2ykaCxi5qcAgk0ixcZKHiX,
Only One Can Win,The Sylvers,1972.0,4BLqx84IpussVxrUGOMLOX,0.695,0.659,0.667,0.0,7.0,0.379,-6.084,1.0,0.0782,153.812,4.0,0.773,36.0,0efkWb9xKhT6H0E7kgSjFK,"classic soul,disco"
Groovin' High,Dizzy Gillespie,1949.0,4ttUzFCVnlOmopuzM4oEUJ,0.985,0.692,0.191,0.844,5.0,0.163,-13.891,0.0,0.0416,95.05,4.0,0.687,44.0,5RzjqfPS0Bu4bUMkyNNDpn,"bebop,contemporary post-bop,jazz,jazz trumpet,vocal jazz"
El Arriero (El Pampero Live Version),Gato Barbieri,1972.0,4fnZciCjxRG0hDKNHfR6Zi,0.38,0.424,0.607,0.0377,7.0,0.927,-9.873,0.0,0.066,109.206,3.0,0.573,10.0,7dXBi98p0mN5JCpBnU0XEm,"jazz saxophone,latin soundtrack"
Rubber Band,The Trammps,1972.0,13Mzsb8VzRSZ5w3pM48cn6,0.74,0.801,0.446,0.038,10.0,0.0832,-14.605,1.0,0.0735,97.898,4.0,0.925,69.0,5fbhwqYYh4YwUoEs582mq5,"classic soul,disco,funk,motown,philly soul,quiet storm,soul"
Just Because I Really Love You,Jerry Butler,1968.0,0rLKAokRZwKWSiu06eSZiy,0.656,0.39,0.441,0.000714,7.0,0.455,-10.443,1.0,0.0369,146.283,3.0,0.531,39.0,0U2mUJuJkthantMGmsJygP,"chicago soul,classic soul,motown,philly soul,soul"
Black Is the Color,Joe Sample,1993.0,70DaOMWmGdBGAuBVqL5I7P,0.882,0.362,0.244,0.61,4.0,0.095,-17.491,0.0,0.0338,105.848,4.0,0.268,19.0,4H2b90USTVSstPktwUsDZE,"jazz funk,jazz piano,smooth jazz"
Wait for Me (Live),Daryl Hall & John Oates,1983.0,3wiM6jj066wDeNaCnxKsRk,0.161,0.59,0.731,3.07e-06,10.0,0.0744,-7.12,1.0,0.0303,175.268,4.0,0.918,46.0,77tT1kLj6mCWtFNqiOmP9H,"album rock,classic rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock"
Morning Order,Hugh Hopper and Alan Gowen,1980.0,5a4MgIUSf9K8wXLSm6xPEx,0.205,0.519,0.413,0.152,0.0,0.351,-12.535,0.0,0.0251,75.219,4.0,0.267,58.0,0k17h0D3J5VfsdmQ1iZtE9,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
É Isso Aí,Baden Powell,1971.0,0XzYqo3Q7mS8nF8OD3teoY,0.636,0.583,0.85,0.853,8.0,0.104,-15.04,1.0,0.0372,110.945,3.0,0.831,7.0,0VSgciOd32tP2Yna1w4vDr,"bossa nova,brazilian jazz,jazz guitar,mpb,samba,samba-jazz,violao"
My People...Hold On,Eddie Kendricks,1972.0,5zKAlrdrdEkBkylhwT3cqH,0.629,0.489,0.477,0.0014,8.0,0.0763,-13.62,1.0,0.114,144.854,4.0,0.54,35.0,2Uuon75BhnuuxdKLYn4wHn,"classic soul,disco,funk,motown,p funk,quiet storm,soul"
Stuffed Aubergine,Vangelis,1971.0,36qn2bFfZzUwM6eIv2XOc9,0.206,0.486,0.312,0.734,1.0,0.0854,-16.772,1.0,0.0317,135.988,4.0,0.11,53.0,4P70aqttdpJ9vuYFDmf7f6,"cyberpunk,synthesizer"
I Don't Really Care,L. V. Johnson,1981.0,3NXZvTvYkp7ZE7A2vHOXlF,0.735,0.784,0.104,0.0,8.0,0.121,-16.585,1.0,0.043,114.488,4.0,0.28,45.0,5mFKYdmiYwNJTDtSzgFyQx,"canadian indie folk,chamber pop,saskatchewan indie"
"Share What You Got, Keep What You Need",The Modulations,1975.0,6VZRuXs9ubfs9shrXcOV1Z,0.00778,0.411,0.562,0.754,0.0,0.0698,-9.296,0.0,0.0284,133.666,3.0,0.524,20.0,76fR3EF5Cbk5nFXce8PAMc,"classic soul,gospel soul"
Sing Me Softly of the Blues,Gary Burton,1967.0,0CMO8upTEJuBGtlEpBv0zL,0.988,0.299,0.135,0.803,9.0,0.103,-16.628,1.0,0.0374,48.591,4.0,0.0365,11.0,2vB9VR5CJ70elfI1wWrvBl,"ecm-style jazz,jazz quartet,jazz vibraphone"
Vulcan Mind Probe,George Duke,1982.0,3j8xsPnIX77j4VhgYlroOA,0.0151,0.753,0.587,0.00336,7.0,0.0374,-8.932,1.0,0.0563,88.188,4.0,0.747,35.0,3EB0uKE2lGw6BB1UFJrONl,"jazz funk,jazz fusion,jazz piano,smooth jazz"
For Once in My Life (Live),Stevie Wonder,1969.0,4kP69y3GKHi9tXckfgp4bK,0.195,0.524,0.519,0.0,6.0,0.523,-11.903,1.0,0.043,110.121,4.0,0.847,74.0,7guDJrEfX3qb6FEbdPA5qi,"motown,soul"
When I Die,Motherlode,1969.0,2h7A00Xc3UHDyGSLpKnBxa,0.0678,0.34,0.561,0.00479,5.0,0.0946,-8.927,0.0,0.0294,175.748,4.0,0.653,36.0,24uSD486ywQ4VJ2OMDXv8y,
Life,Funky Cowboys,1997.0,5YIF6HSOtHN9HdcE5IPzMe,0.0755,0.988,0.633,1.88e-06,5.0,0.0668,-15.012,0.0,0.0888,117.493,4.0,0.929,59.0,5Y8EphH8Vdqu5SLj6K5vjj,"hip hop,hip house,miami bass"
Speak Your Mind,Kevin Moore,1980.0,6zozkHIrxeMJDExQ83WUYb,0.911,0.763,0.481,0.165,0.0,0.183,-10.278,1.0,0.0553,96.892,4.0,0.416,19.0,4ilUGyAQUq1x3OkQIxwSgu,
The Colorado Trail,Dave Grusin,1976.0,1PgOvjozYVZ03qBJDwuyhd,0.964,0.368,0.0362,0.942,7.0,0.0946,-29.824,1.0,0.0351,133.437,3.0,0.0553,16.0,0SPkat5bgfP5wo2kbqZIwu,smooth jazz
Tama,Tonto's Expanding Head Band,1971.0,5zJvuQbOLLAJ1oaa3UI51o,0.95,0.227,0.133,0.954,8.0,0.103,-21.43,0.0,0.0441,137.509,3.0,0.129,2.0,1EAuonSn6FGXejwZS6EU9Z,"laboratorio,moog"
Much Better Off,Smokey Robinson and The Miracles,1968.0,42V7F468ieBbxKwaxBlpls,0.194,0.297,0.328,0.000118,4.0,0.123,-13.61,0.0,0.0291,131.024,3.0,0.686,50.0,6TKOZZDd5uV5KnyC5G4MUt,"classic soul,motown,quiet storm,soul"
A Legend in Its Own Time,Smokey Robinson and The Miracles,1969.0,7LyjOVrLQVCNk2CIZmAJJb,0.203,0.393,0.55,0.0,2.0,0.0806,-11.279,1.0,0.0361,156.217,4.0,0.679,20.0,6TKOZZDd5uV5KnyC5G4MUt,"classic soul,motown,quiet storm,soul"
